Recipe_Name,Rank,Comment,Comment_Name,Article
Soft & Chewy Sugar Cookies,56,"These are delicious! I used a small cookie scoop and got quite a few. Perfect size for just a couple bites. I rolled them in sprinkles. Im making them again, theyre that good!",sonya_m35_11545863,recipe
Mrs. Fields' Chocolate Chip Cookies,57,"This is my favorite cookie recipe ever. I always make about a quarter of the amount posted, using just one stick of butter, etc. But these come out AMAZING every time, crunchy and puffy. Everyone loves these.",Holly Blackwell,recipe
Quinoa Tahini Cookies,58,"These cookies are amazing! They are so yummy with a perfect crunchy, soft texture. Mmm, addictive! The quinoa gives them such a crunchy twist and yummy nutty flavor. What a cool idea to add that to a cookie recipe!",Lalaloula,recipe
Gluten-Free Dutch Sugar Cookies,59,This is the best gluten-free sugar cookie recipe I have ever tried! The dough is very easy to work with—great for making holiday cookies with kids. The taste and texture are excellent.,Homeschoolmama,recipe
White Chocolate & Cranberry Cookies,60,Delicious! White chocolate and craisins are a perfect combination in these cookies. I didnt have any brandy so I used a tablespoon of orange juice with no problems.,ellie_,recipe
Red Velvet Cookies,61,"I just made this last week and, oh boy, were they a hit! They came out great. Reviews I got from people: decadent, luscious, even SEXY! I added chocolate chips (half a bag) to the dough, it gave a little something extra.",Weird Al Loser,recipe
Mexican Wedding Cookies,62,I love this recipe! I use chopped pecans for the nuts. This recipe is absolutely a must try! These cookies homemade are much better than the store brand.,rachel hemenway,recipe
Coconut Oatmeal Raisin Cookies,63,Wow is all I can say. Tried to freeze these to stop me eating them.  Didnt work. They are good frozen too.,pete w.,recipe
M&M Cookies,64,"This recipe was fantastic. I followed it exactly and they came out perfectly, chewy and not cake like at all. The cookies did spread a lot more while baking than I expected them to.",marissabaca,recipe
Chocolate Chip Peanut Butter Ball Cookies,65,Dont panic if they seem really crumbly and hard to mix. I just kept working the dough into the balls and they were fantastic! I served them both cold and room temperature and they were devoured both ways. They are a nice change from your usual chocolate chip or peanut butter cookie.,Bev erly,recipe
No-Bake Bourbon Balls,66,Super good and so easy! I made these ahead of time and allowed them to sit in the fridge in a sealed container for three days before handing them out to my friends and family. Lots of requests for more!,lorri70,recipe
Soft & Chewy Vanilla Butter Cookies,67,"Absolutely wonderful! My husband is literally addicted to these cookies. I made my first batch with the butter-flavored Crisco and they were good, but when I switched the Crisco for real butter the cookies were light-years better.",Dymealexis,recipe
Fluffy Molasses Cookies,68,I made these for a friend who thought a good cookie needs chocolate. Now she requests these when she visits. They stay fresh and soft for quite a few days.,Seattle Lori,recipe
Easy Peanut Butter & Chocolate Chip Cookies,69,"Absolutely loved this recipe! They were so easy, tasty, and turned out beautifully! I will definitely make these again. I love that you dont have to worry about flat, unattractive cookies (which is nice when youre taking them somewhere to share!)",Auntie Jess,recipe
Meringue Cookies,70,"Delicious! I didnt have a double boiler, so I improvised. I put a sauce pan on the stove water in it, then nested a large metal bowl over it. Worked like a charm.",Janie C.,recipe
Chocolate Chip Cookie Bars,71,"Ive made it a number of times, and last week even made it two days in a row! Its super easy, and a real crowd pleaser, and is right up the top of my list!",Katzen,recipe
Bailey's Gluten-Free Peanut Butter Cookies,72,These are great cookies! I was quite surprised that they stayed together into nice round cookies. They do not spread at all and crinkle a bit around the edges.,HokiesMom,recipe
Gluten-Free Chocolate Snowball Cookies,73,"Incredible! No one would guess these are grain- and gluten-free. I placed the rolled cookies in the freezer until firm before baking them, this kept them from spreading too much.",MrsHepp,recipe
No-Bake Chocolate Cherry Oatmeal Cookies,74,Chocolate and cherries are a match made in heaven. I made these for my holiday goodies and they went over like you would not believe! The cherries still were juicy and just burst in your mouth when you chomped down on them.,Redneck Epicurean,recipe
Chocolate Chip Brownie Cookies,75,"Rich chocolate chip brownies in cookie form, with a hint of espresso.",Andrea P.,recipe
Three-Ingredient Chewy Macaroons,76,Wow! These are excellent! I found scooping them to be a challenge until I started scooping with a large spoon and using my fingers to slide it onto the cookie sheet. They have a sweet and toasty flavor to them.,Saturn,recipe
Peanut Butter S'mores Skillet Cookie,77,"This epic skillet cookie is packed with marshmallows, chocolate, peanut butter and graham crackers, making it perfect for your campfire or backyard cookout.",No name,recipe
Caramel-Stuffed Crinkle Skillet Cookie,78,"Even a cookie monster cant resist a festive, caramel-stuffed chocolate cookie created in a rustic cast iron skillet.",No name,recipe
Milk & Cookie Cups,79,"I thought these cookie cups were really cute! When I first baked them, the cookie dough cups mostly lost their shape but, as directed, pressing them back into a cup shape part way through baking rectifies this.",Izy Hossack,recipe
Pusheen Sugar Cookies,80,Meow! These cute sugar cookie cats will have kids and adults fawning—and enjoying!,No name,recipe
Maple Cinnamon-Glazed Bacon & Chocolate Chip Cookies,81,The bacon adds a lot of flavor to these cookies and of course compliments the maple flavor beautifully.,LimeandSpoon,recipe
Raspberry Lemon Thumbprint Cookies,82,"Make sure that you are commited to making these cookies every year, because people will come hunt you down if you dont bring them more! These are far and away THE favorite cookie of my family and friends for the last several years running.",Chef Capsaicin Jen,recipe
Martha Stewart's Oatmeal Cookies,83,"These are simply the best! I had no problems at all, and found that I liked the fact that the cookie spread a little bit! All bites were chewy with a little crunch.",alysia.garland,recipe
Nanny's Pumpkin Cookies with Maple Penuche Frosting,84,"Stop what youre doing right now and make these cookies. Dont change anything, just make them. Texture, flavor and everything else is perfect and the icing works for all kinds of sweet breads (banana, zucchini, etc.).",sherrilljoy,recipe
Peanut Butter Pretzel Cookies,85,"Awesome cookies! I am a total pretzel freak, so when I saw these cookies I knew I just had to give them a go. Love the sweet-salty combo. A definite repeat.",CoffeeB,recipe
Giant Glowing Pumpkin Cookies,86,We frosted the tops with colored frosting and then decorated with jimmies. My kids had fun decorating them!,CookTillUDrop,recipe
Jackie's Apple Pie Crisp Cookies,87,"Delicious cookies! I definitely enjoyed these more a day after they were baked. But I found I would have liked some spices in the cookie dough as well. All in all, I enjoyed these a great deal.",Roxanne J.R.,recipe
Gingerbread Skeletons,88,I used these with dinosaur cookie cutters.  They looked like fossils—so cute!  They were a big hit for my sons dinosaur birthday party!,Nikisilv,recipe
Caramel Apple Cookies,89,We loved these! Nice change of pace from the usual chocolate chip. The caramel is awesome. These would be perfect for fall.,Liza at Food.com,recipe
Goalpost Cookies,90,"Touchdown! Score big at your next tailgating party with these adorable sugar cookies, which are coated in colorful, football-themed sprinkles and frosting.",No name,recipe
Lemon Basil Curd Cookies,91,Crisp butter cookies filled with a sweet lemon-basil curd. Its got all the vibrant freshness youve been craving.,No name,recipe
Five-Spice & Cranberry Mooncake Cookies,92,"Traditionally enjoyed during the Chinese Mid-Autumn festival, mooncakes are a tasty and beautiful treat for fall. Rebecca Firth combines her sturdy sugar cookies with cranberries, five-spice, white chocolate, nuts and a citrus glaze.",No name,recipe
Olive Oil Chocolate Chip Cookies,93,"Forget butter and margarine, this Mediterranean-style recipe use olive oil to bake a tender, moist cookie.",No name,recipe
Poinsettia Pull-Apart Cookies,94,I really enjoyed making these cookies. Directions were right on! And the best part... they were delicious!,Anonymous,recipe
Chocolate Cookarolis,95,"The gooey center is so good and I cant stop thinking of ways to make these fried cookies even more decadent! I want to put chocolate sauce on top, or try to make them with jam in the center, or try a cinnamon-sugar version...",Chef Jean,recipe
Chocolate Chip Pudding Cookies,96,Terrific little recipe. The pudding makes a huge difference. Kids love em!,GEEs momma,recipe
Peanut Butter Oatmeal Chocolate Chip Cookies,97,"I never write reviews, and joined this network solely to write this one! This is really the best cookie recipe ever. They are so good I have to get them out of my house or I will eat them all!",Suzieqzee,recipe
Low-Sugar Chocolate Chip Cookies,98,"This recipe is superb! I have a friend with Lyme disease; he cannot have a lot of sugar, and he LOVES these! Ive made the recipe several times and usually triple my batches because they go so quickly.",Tina Howe,recipe
Bonus: Texas Cowboy Cookies in a Jar,99,"I received this cookie mix for Christmas one year and have continued using the recipe. I love chocolate chip cookies and these are my favorite! Ive also discovered that without the oats and chocolate, these also make great sugar cookies.",LoydaP,recipe
